일자,시간,시가,고가,저가,종가,거래량
20200527,1514,396000,396500,396000,396000,27
20200527,1513,396000,396500,396000,396000,638
20200527,1512,395500,396500,395500,396000,1923
20200527,1511,396000,396000,395000,395500,3554
20200527,1510,396000,396000,395500,395500,561
20200527,1509,396000,396500,395500,396000,1059
20200527,1508,396000,396500,395500,396000,2022
20200527,1507,396000,396500,395500,396500,2214
20200527,1506,396000,396500,396000,396000,574
20200527,1505,396000,396500,396000,396000,535
20200527,1504,396000,396500,395500,396500,1367
20200527,1503,396000,396500,396000,396000,812
20200527,1502,396500,396500,396000,396000,678
20200527,1501,396500,396500,396000,396000,562
20200527,1500,395000,396500,395000,396500,2624
20200527,1459,395000,395500,395000,395500,1086
20200527,1458,395500,396000,395000,395000,2956
20200527,1457,395500,396000,395000,395500,5277
20200527,1456,396000,396000,395500,396000,1889
20200527,1455,396000,396000,395500,395500,975
20200527,1454,396500,396500,395500,396000,656
20200527,1453,396000,396500,395500,396000,780
20200527,1452,396500,396500,395500,396000,982
20200527,1451,396000,396500,395500,396500,2028
20200527,1450,396000,396500,396000,396000,4355
20200527,1449,396000,396500,396000,396500,658
20200527,1448,396000,396500,396000,396500,1305
20200527,1447,396500,396500,396000,396000,943
20200527,1446,397000,397000,396500,396500,1247
20200527,1445,397000,397000,396500,397000,365
20200527,1444,396500,397000,396500,397000,506
20200527,1443,397000,397500,396500,396500,993
20200527,1442,397000,397500,396500,397500,364
20200527,1441,397500,398000,396500,396500,627
20200527,1440,397000,398000,396000,397500,2780
20200527,1439,397000,397000,396500,396500,2956
20200527,1438,398000,398000,396500,396500,1320
20200527,1437,397500,398000,397000,397500,1463
20200527,1436,397000,397500,397000,397000,510
20200527,1435,397500,397500,397000,397500,583
20200527,1434,397500,398000,397000,397000,656
20200527,1433,398000,398000,397500,397500,363
20200527,1432,397500,398000,397000,398000,516
20200527,1431,397500,398000,397000,397000,453
20200527,1430,397000,398000,397000,397000,604
20200527,1429,398000,398500,397000,397500,961
20200527,1428,397500,398500,397500,398000,636
20200527,1427,397500,398000,397500,397500,483
20200527,1426,397500,398000,397500,397500,961
20200527,1425,397500,398000,397000,397500,785
20200527,1424,397000,397500,397000,397500,438
20200527,1423,397500,397500,397000,397000,289
20200527,1422,398000,398000,397000,397500,676
20200527,1421,397000,398000,397000,398000,353
20200527,1420,396500,397500,396500,397000,637
20200527,1419,397500,398000,396500,397000,766
20200527,1418,397500,397500,397000,397000,309
20200527,1417,397000,397500,396500,397000,904
20200527,1416,397000,397500,396500,397000,551
20200527,1415,397000,397500,396500,397000,2460
