일자,시간,시가,고가,저가,종가,거래량
20200527,1516,248000,249000,248000,249000,439
20200527,1515,248500,249000,248000,248000,174
20200527,1514,249000,249000,248000,248000,475
20200527,1513,249000,249000,248500,248500,366
20200527,1512,248500,249000,248500,248500,491
20200527,1511,248500,249000,248500,249000,287
20200527,1510,249000,249000,248500,248500,487
20200527,1509,248500,249000,248500,249000,348
20200527,1508,249000,249000,248000,248500,353
20200527,1507,248500,249000,248500,249000,596
20200527,1506,248000,248500,248000,248500,400
20200527,1505,248000,248500,247500,248500,671
20200527,1504,248000,248000,248000,248000,247
20200527,1503,247500,248000,247500,248000,185
20200527,1502,248000,248000,247500,248000,141
20200527,1501,247500,248000,247500,248000,212
20200527,1500,248000,248500,247500,247500,298
20200527,1459,248000,248000,247500,248000,550
20200527,1458,247500,248000,247500,248000,163
20200527,1457,248000,248000,247500,248000,64
20200527,1456,248000,248000,247500,247500,98
20200527,1455,248500,248500,247500,248000,546
20200527,1454,248500,248500,248000,248500,170
20200527,1453,248000,249000,248000,248500,330
20200527,1452,248500,248500,248000,248500,210
20200527,1451,248000,248500,248000,248000,493
20200527,1450,248500,248500,248000,248500,181
20200527,1449,248500,248500,248000,248000,81
20200527,1448,248000,248500,248000,248500,203
20200527,1447,248000,248500,248000,248500,117
20200527,1446,248000,248500,248000,248500,223
20200527,1445,248000,248500,248000,248000,507
20200527,1444,248500,248500,248000,248000,211
20200527,1443,248000,248500,248000,248500,200
20200527,1442,248500,248500,248000,248500,73
20200527,1441,248000,248500,248000,248500,207
20200527,1440,248500,248500,248000,248000,160
20200527,1439,248000,248500,248000,248500,348
20200527,1438,247500,248500,247500,248000,425
20200527,1437,248000,248000,247500,248000,148
20200527,1436,248000,248000,247500,247500,129
20200527,1435,248000,248000,247500,248000,282
20200527,1434,248500,248500,247500,247500,1285
20200527,1433,248000,248500,248000,248500,94
20200527,1432,248500,248500,248000,248000,593
20200527,1431,248000,248500,248000,248500,248
20200527,1430,248500,248500,248000,248500,106
20200527,1429,248500,248500,248000,248000,388
20200527,1428,248500,249000,248000,248500,491
20200527,1427,248500,249000,248500,249000,68
20200527,1426,248500,249000,248500,249000,110
20200527,1425,249000,249000,248500,249000,302
20200527,1424,248500,249000,248500,249000,122
20200527,1423,248500,249000,248500,249000,143
20200527,1422,248500,249000,248500,249000,198
20200527,1421,248500,249000,248500,249000,99
20200527,1420,248500,249000,248500,248500,975
20200527,1419,248500,249000,248500,248500,114
20200527,1418,248500,249000,248500,248500,81
20200527,1417,248500,249000,248500,249000,137
