일자,시간,시가,고가,저가,종가,거래량
20200527,1518,97900,98000,97900,98000,19
20200527,1517,97900,98000,97900,97900,2167
20200527,1516,98000,98000,97900,98000,1576
20200527,1515,98000,98000,97900,98000,2191
20200527,1514,97900,98000,97800,98000,2910
20200527,1513,97900,97900,97800,97900,1505
20200527,1512,97900,97900,97800,97900,1119
20200527,1511,97700,97800,97600,97800,17124
20200527,1510,97800,97800,97700,97800,2773
20200527,1509,97800,97800,97700,97800,1657
20200527,1508,97800,97800,97700,97800,1420
20200527,1507,97800,97800,97700,97800,4008
20200527,1506,97600,97800,97600,97800,407
20200527,1505,97700,97800,97600,97700,4322
20200527,1504,97800,97800,97700,97700,3999
20200527,1503,97800,97800,97700,97800,2235
20200527,1502,97700,97800,97700,97800,1411
20200527,1501,97700,97800,97600,97800,5665
20200527,1500,97700,97700,97600,97600,3147
20200527,1459,97700,97700,97600,97700,3206
20200527,1458,97700,97700,97600,97700,2745
20200527,1457,97600,97700,97600,97600,1836
20200527,1456,97700,97700,97600,97700,1104
20200527,1455,97700,97800,97600,97600,6695
20200527,1454,97800,97800,97700,97700,2593
20200527,1453,97800,97800,97700,97700,2110
20200527,1452,97700,97800,97700,97800,2598
20200527,1451,97700,97800,97700,97700,1738
20200527,1450,97700,97800,97700,97700,3416
20200527,1449,97700,97800,97700,97800,2699
20200527,1448,97900,97900,97700,97700,4443
20200527,1447,97800,97900,97700,97800,2567
20200527,1446,97800,97900,97700,97700,4396
20200527,1445,97900,97900,97800,97800,2937
20200527,1444,97800,97900,97700,97900,4711
20200527,1443,97800,97800,97700,97800,2184
20200527,1442,97700,97800,97700,97700,1375
20200527,1441,97700,97800,97700,97800,1514
20200527,1440,97800,97800,97700,97800,4564
20200527,1439,97600,97800,97600,97800,3867
20200527,1438,97600,97700,97500,97700,4338
20200527,1437,97800,97800,97600,97700,6342
20200527,1436,97700,97800,97600,97700,2621
20200527,1435,97700,97800,97600,97600,4936
20200527,1434,97700,97700,97600,97700,2980
20200527,1433,97700,97700,97600,97600,3201
20200527,1432,97700,97800,97700,97700,3031
20200527,1431,97700,97800,97600,97700,3826
20200527,1430,97800,97800,97700,97800,7203
20200527,1429,97900,98000,97700,97700,4545
20200527,1428,97900,98000,97800,97900,2972
20200527,1427,97900,97900,97800,97800,1444
20200527,1426,97800,97900,97800,97900,2979
20200527,1425,97900,97900,97800,97900,2747
20200527,1424,97800,97900,97800,97900,2742
20200527,1423,97900,97900,97800,97900,2627
20200527,1422,97900,97900,97800,97900,2158
20200527,1421,97800,97900,97800,97900,1765
20200527,1420,97900,97900,97800,97900,1633
20200527,1419,97900,97900,97800,97800,1529
